plate,well,Y89,Rh103,Pd105,Pd106,Pd108,Pd110,In113,In115,Bi209,Pt194,Pt198
2,F03,1,1,0,1,0,0,1,0,0,1,0
2,F04,0,1,0,0,0,1,0,1,1,1,0
2,F05,0,0,1,1,1,0,0,1,0,1,0
2,F06,0,1,0,1,0,1,0,0,1,1,0
2,F07,0,0,0,1,1,0,1,1,0,1,0
2,F08,1,0,0,1,0,1,0,0,1,1,0
2,F09,0,1,1,0,0,1,0,0,1,1,0
2,F10,0,1,0,1,0,0,1,0,1,1,0
2,F11,1,1,0,0,1,0,0,0,1,1,0
2,G02,1,0,1,0,0,0,0,1,1,1,0
2,G03,1,1,0,1,1,0,0,0,0,1,0
2,G04,0,0,0,1,0,1,0,1,1,1,0
2,G05,0,0,0,1,0,1,1,0,1,1,0
2,G06,0,1,1,0,0,1,1,0,0,1,0
2,G07,0,0,0,0,1,0,1,1,1,1,0
2,G08,1,0,0,0,1,0,0,1,1,1,0
2,G09,1,1,0,0,1,0,0,1,0,1,0
2,G10,1,1,0,0,1,0,1,0,0,1,0
2,G11,0,1,0,1,1,0,1,0,0,1,0
3,B02,0,1,0,1,1,0,0,1,0,0,1
3,B03,0,1,1,0,0,0,1,0,1,0,1
3,B04,1,1,0,0,0,1,0,0,1,0,1
3,B05,1,0,1,0,1,0,0,0,1,0,1
3,B06,0,1,0,0,1,1,1,0,0,0,1
3,B07,0,1,1,0,1,1,0,0,0,0,1
3,B08,1,0,1,0,0,1,1,0,0,0,1
3,B09,1,0,0,1,0,0,1,0,1,0,1
3,B10,0,0,1,1,0,1,0,1,0,0,1
3,B11,1,0,1,1,0,0,1,0,0,0,1
3,C02,1,0,0,1,0,1,1,0,0,0,1
3,C03,1,1,0,0,1,1,0,0,0,0,1
3,C04,0,0,1,0,0,1,0,1,1,0,1
3,C05,0,1,0,0,1,0,1,0,1,0,1
3,C06,1,0,0,0,1,1,1,0,0,0,1
3,C07,1,1,0,0,0,0,0,1,1,0,1
3,C08,0,1,0,0,1,1,0,1,0,0,1
3,C09,1,0,1,1,1,0,0,0,0,0,1
3,C10,0,0,1,1,1,0,0,0,1,0,1
3,C11,0,1,0,0,0,1,1,0,1,0,1
3,D02,1,1,0,1,0,1,0,0,0,0,1
3,D03,0,1,1,0,1,0,0,1,0,0,1
3,D04,0,0,1,0,0,1,1,0,1,0,1
3,D05,0,1,1,1,1,0,0,0,0,0,1
3,D06,0,1,0,0,0,0,1,1,1,0,1
3,D07,1,1,1,0,0,1,0,0,0,0,1
3,D08,0,1,1,0,1,0,1,0,0,0,1
3,D09,0,0,0,1,0,0,1,1,1,0,1
3,D10,1,1,0,0,0,1,1,0,0,0,1
3,D11,0,0,0,0,0,1,1,1,1,0,1
3,E02,1,1,1,0,0,0,0,0,1,0,1
3,E03,1,0,0,1,0,0,0,1,1,0,1
3,E04,0,0,1,1,1,0,1,0,0,0,1
3,E05,1,0,0,0,1,1,0,1,0,0,1
3,E06,0,0,1,1,0,1,1,0,0,0,1
3,E07,0,1,1,1,0,0,1,0,0,0,1
3,E08,1,1,1,0,0,0,1,0,0,0,1
3,E09,1,1,0,0,0,0,1,0,1,0,1
3,E10,1,0,1,0,0,1,0,1,0,0,1
3,E11,0,1,0,1,0,0,1,1,0,0,1
3,F02,1,0,0,1,1,0,0,0,1,0,1
3,F03,0,1,0,0,1,0,0,1,1,0,1
3,F04,1,1,0,1,0,0,0,1,0,0,1
3,F05,0,1,1,0,0,1,0,1,0,0,1
3,F06,0,0,0,1,1,0,1,0,1,0,1
3,F07,1,1,1,1,0,0,0,0,0,0,1
3,F08,0,1,0,1,1,1,0,0,0,0,1
3,F09,1,0,1,0,0,0,1,0,1,0,1
3,F10,0,0,0,1,0,1,1,1,0,0,1
3,F11,1,0,1,1,0,1,0,0,0,0,1
3,G02,1,0,0,1,0,0,1,1,0,0,1
3,G03,0,1,0,1,0,1,1,0,0,0,1
3,G04,1,1,0,0,0,0,1,1,0,0,1
3,G05,0,0,1,1,0,0,0,1,1,0,1
3,G06,1,0,0,0,1,1,0,0,1,0,1
3,G07,0,0,0,1,1,1,1,0,0,0,1
3,G08,1,0,0,0,1,0,1,0,1,0,1
3,G09,0,0,0,1,1,1,0,1,0,0,1
3,G10,0,1,0,1,0,1,0,1,0,0,1
3,G11,0,1,0,1,1,0,0,0,1,0,1
4,B02,1,0,1,1,0,0,0,0,1,0,1
4,B03,0,1,0,1,0,0,0,1,1,0,1
4,B04,0,1,0,0,1,0,1,1,0,0,1
4,B05,1,0,0,0,0,1,1,1,0,0,1
4,B06,1,0,0,0,1,0,1,1,0,0,1
4,B07,1,0,1,0,0,1,0,0,1,0,1
4,B08,1,0,0,1,1,0,0,1,0,0,1
4,B09,0,0,0,0,1,1,0,1,1,0,1
4,B10,0,0,1,1,0,0,1,0,1,0,1
4,B11,0,0,1,1,0,1,0,0,1,0,1
4,C02,0,0,0,0,1,1,1,0,1,0,1
4,C03,1,1,1,0,1,0,0,0,0,0,1
4,C04,1,1,0,1,0,0,0,0,1,0,1
4,C05,1,1,0,0,0,1,0,1,0,0,1
4,C06,1,0,1,1,0,0,0,1,0,0,1
4,C07,0,1,1,0,0,0,0,1,1,0,1
