acquisition_id,image_id,image_number,crop_number,acquisition_mcd_acid,site_mcd_panoramaid,slideac_name
326,1895,2292,2,9,1,20190618_p161_slide14_ac2_vz
326,1898,2295,5,9,1,20190618_p161_slide14_ac2_vz
328,1900,2297,1,12,1,20190618_p161_slide32_ac2_vz
97,1922,2479,6,54,2,20190621_p165_slide44_ac1_vz
330,1932,1189,1,22,2,20190525_p165_slide45_ac1_vz
331,1935,1192,3,24,3,20190525_p165_slide45_ac1_vz
334,1938,1195,1,32,3,20190525_p165_slide45_ac1_vz
132,1945,222,4,3,1,20190515_p165_slide30_ac1_vz
132,1952,229,46,3,1,20190515_p165_slide30_ac1_vz
132,1954,231,48,3,1,20190515_p165_slide30_ac1_vz
132,1958,235,51,3,1,20190515_p165_slide30_ac1_vz
338,1965,2322,2,7,1,20190618_p161_slide32_ac2_vz
339,1970,2327,1,8,1,20190618_p161_slide32_ac2_vz
340,1972,2329,1,9,1,20190618_p161_slide32_ac2_vz
116,1980,2337,16,3,1,20190618_p165_slide15_ac1_vz
341,1986,1063,47,3,1,20190524_p165_slide24_ac1_vz
341,1990,1067,50,3,1,20190524_p165_slide24_ac1_vz
341,1995,1072,55,3,1,20190524_p165_slide24_ac1_vz
341,1999,1076,59,3,1,20190524_p165_slide24_ac1_vz
343,2006,2143,2,39,1,20190617_p161_slide35_ac1_vz
344,2007,2144,1,40,1,20190617_p161_slide35_ac1_vz
345,2010,2147,2,41,1,20190617_p161_slide35_ac1_vz
346,2013,2150,3,43,1,20190617_p161_slide35_ac1_vz
346,2014,2151,4,43,1,20190617_p161_slide35_ac1_vz
347,2016,2153,1,44,1,20190617_p161_slide35_ac1_vz
349,2019,2156,1,46,1,20190617_p161_slide35_ac1_vz
349,2020,2157,2,46,1,20190617_p161_slide35_ac1_vz
130,2025,2,10,6,2,20190405_p165_slide21_ac1_vz
116,2046,2343,21,3,1,20190618_p165_slide15_ac1_vz
116,2053,2350,28,3,1,20190618_p165_slide15_ac1_vz
116,2055,2352,3,3,1,20190618_p165_slide15_ac1_vz
353,2065,1402,1,9,1,20190607_p165_slide41_ac1_vz
355,2070,1407,1,34,2,20190607_p165_slide41_ac1_vz
362,2085,2582,1,8,1,20190622_p165_slide42_ac1_vz
364,2089,2586,3,15,2,20190622_p165_slide42_ac1_vz
370,2096,2593,1,21,2,20190622_p165_slide42_ac1_vz
169,2112,1769,13,8,3,20190609_p165_slide40_ac1_vz
169,2122,1779,22,8,3,20190609_p165_slide40_ac1_vz
376,2128,965,1,5,2,20190523_p165_slide59_ac1_vz
381,2133,970,1,1,1,20190523_p165_slide83_ac1_vz
381,2134,971,2,1,1,20190523_p165_slide83_ac1_vz
383,2138,975,3,3,1,20190523_p165_slide83_ac1_vz
58,2145,142,40,5,2,20190514_p161_slide20_ac1_vz
58,2147,144,42,5,2,20190514_p161_slide20_ac1_vz
58,2148,145,43,5,2,20190514_p161_slide20_ac1_vz
58,2149,146,44,5,2,20190514_p161_slide20_ac1_vz
58,2150,147,5,5,2,20190514_p161_slide20_ac1_vz
385,2156,153,1,13,1,20190514_p161_slide38_ac1_vz
385,2162,159,7,13,1,20190514_p161_slide38_ac1_vz
385,2163,160,8,13,1,20190514_p161_slide38_ac1_vz
20,2177,2114,23,12,1,20190613_p165_slide48_ac1_vz
20,2180,2117,26,12,1,20190613_p165_slide48_ac1_vz
295,2184,381,2,3,1,20190517_p161_slide41_ac1_vz
389,2188,385,1,8,1,20190517_p161_slide41_ac1_vz
389,2190,387,3,8,1,20190517_p161_slide41_ac1_vz
390,2191,388,1,9,1,20190517_p161_slide41_ac1_vz
92,2200,397,15,16,2,20190517_p165_slide43_ac1_vz
34,2205,1942,21,5,1,20190611_p165_slide33_ac1_vz
34,2207,1944,23,5,1,20190611_p165_slide33_ac1_vz
34,2214,1951,3,5,1,20190611_p165_slide33_ac1_vz
