sampleblock,slide_date,storage_box,anyeverused?,slide_number,nsites,n_cuts_between,image_prefreeze,slide_position,to be used? indicate site number,nsites_stained,anyeverused?,anyused?,to be used? indicate site number,stain_group,idx,imaged?,imgaging time predicted,Imaging time actual,slide_number,slidescan_fluo_nr,slidescan_fluo_name,,,
p165,20190219,VZBox19,1,6,3,0,3485,"1,2,(3)",1,1,1,1,1,2,20,1,,3.6,6,61,v.zanotelli_20190509_p165_061,,,
p165,20190219,VZBox19,0,7,3,0,3491,"(1),2,(3)",,,0,0,,,,,,,,,,,,
p165,20190219,VZBox19,0,8,3,0,3497,"-1,-2,-3",,,0,0,,,,,,,,,,,,
p165,20190219,VZBox19,1,9,3,0,3503,"-1,+2,+3",2,1,1,1,2,3,21,0,,5,9,54,v.zanotelli_20190509_p165_054,,,
p165,20190219,VZBox19,0,10,3,0,3509,"-1,+2,-3",,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,11,3,0,3515,"-1,-2,+3",,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,12,3,0,3521,"-1,+2,+3",2,1,1,1,2,1,22,0,,6,12,46,v.zanotelli_20190509_p165_046,,,
p165,20190219,VZBox19,0,13,3,0,3527," +1,+2,+3",,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,14,3,0,3533," -1, +2, +3",,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,15,3,0,3539,-++,2,1,1,1,2,2,23,0,6.5,x,15,59,v.zanotelli_20190509_p165_059,,,
p165,20190219,VZBox19,0,16,3,0,3545, +++ ,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,17,3,0,3551,-++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,18,3,0,3557,-++,2,1,1,1,2,3,24,0,,6.8,18,53,v.zanotelli_20190509_p165_053,,,
p165,20190219,VZBox19,0,19,3,0,3563, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,20,3,0,3569, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,21,3,0,3575, +++ ,2,1,1,1,2,1,25,1,,7.5,21,45,v.zanotelli_20190509_p165_045,,,
p165,20190219,VZBox19,0,22,3,0,3581, +-+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,23,3,0,3587, --+,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,24,3,0,3593, +++,2,1,1,1,2,2,26,0,,7,24,34,v.zanotelli_20190509_p165_034,,,
p165,20190219,VZBox19,0,25,3,0,3599,-!++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,26,3,0,3605,-++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,1,27,3,0,3611, +++,2,1,1,1,2,3,27,0,,7,27,52,v.zanotelli_20190509_p165_052,,,
p165,20190219,VZBox19,0,28,3,0,3617, +++,,,0,0,#REF!,,,,,,,,,,,
p165,20190219,VZBox19,0,29,3,0,3623, +-+,,,0,0,#REF!,,,,,,,,,,,
